iter,acc,nmi,ari,loss
0,0.91703,0.82513,0.82314,0
140,0.92439,0.83509,0.83962,0.0464
280,0.93474,0.85214,0.86118,0.15516
420,0.94204,0.86487,0.87635,0.20666
560,0.94701,0.87386,0.88678,0.21946
700,0.95071,0.8808,0.89447,0.21129
840,0.95313,0.88548,0.89955,0.21037
980,0.95493,0.88899,0.90333,0.20894
1120,0.95607,0.89119,0.90576,0.19739
1260,0.95693,0.89315,0.90757,0.19786
1400,0.95769,0.89466,0.90916,0.19227
1540,0.95829,0.89594,0.91047,0.18089
1680,0.95897,0.89727,0.91186,0.17725
1820,0.9597,0.89884,0.91341,0.18227
1960,0.95981,0.89904,0.91367,0.17084
2100,0.96029,0.90016,0.91466,0.1735
2240,0.96049,0.9007,0.91509,0.16681
2380,0.96086,0.90149,0.91588,0.1643
2520,0.96109,0.90209,0.91635,0.1624
2660,0.9612,0.90224,0.91659,0.16996
2800,0.96149,0.90293,0.9172,0.15869
2940,0.96143,0.90281,0.91708,0.14479
3080,0.96167,0.90347,0.91758,0.14797
3220,0.96171,0.90348,0.91769,0.14242
3360,0.9619,0.90396,0.91806,0.14001
3500,0.9618,0.90368,0.91786,0.14327
3640,0.96186,0.9039,0.91795,0.13728
3780,0.96199,0.90401,0.91822,0.13077
3920,0.96191,0.90396,0.91809,0.13453
4060,0.96201,0.90422,0.91829,0.13473
4200,0.96201,0.90416,0.91828,0.12488
4340,0.9621,0.90433,0.91846,0.12495
4480,0.96211,0.90436,0.91848,0.12521
4620,0.9622,0.90458,0.91867,0.1261
4760,0.96231,0.90468,0.9189,0.12674
